logFC	logCPM	F	PValue	FDR	expression	rank	gene
-0.513007980587043	6.82598340016335	3230.97589338028	0.124806829932669	0.999998723944664	unchanged	0.903761647659147	INSIG1
-0.336638918027091	6.95742561079692	3477.4281175982	0.273301406807438	0.999998723944664	unchanged	0.5633581327891	HMGCS1
-0.369026603582385	6.54570175432426	410.669250199527	0.313194719323355	0.999998723944664	unchanged	0.504185569053627	LSS
-0.288512315394979	7.08135940009628	3662.30220693831	0.316839686274848	0.999998723944664	unchanged	0.499160425407366	CYP1B1
-0.58173273503089	5.44640905951702	14.0220366657418	0.332842545572175	0.999998723944664	unchanged	0.47776116517505	FAXDC2
-0.31162495635669	6.79119702149571	1677.46101323585	0.341670301310341	0.999998723944664	unchanged	0.466392769335805	MSMO1
-0.297025010994319	6.89184309624739	2097.07835095177	0.344013604948666	0.999998723944664	unchanged	0.463424381738656	HMGCR
-0.47651839616566	5.63932329365624	22.1553048738107	0.366231430556662	0.999998723944664	unchanged	0.436244386600222	LCAT
-0.513374402894965	5.4827888435599	15.1761815220191	0.373090626721097	0.999998723944664	unchanged	0.428185661745663	CYP8B1
-0.267247186798363	6.95077084976431	2149.05094681176	0.383681097681187	0.999998723944664	unchanged	0.416029596097403	MVD
-0.323367779565618	6.45285638359538	510.097152566666	0.391754598147092	0.999998723944664	unchanged	0.406985897378352	HSD17B7
-0.351040085590164	6.2458813150946	140.234453598948	0.393355253705499	0.999998723944664	unchanged	0.405215044960795	TM7SF2
-0.285338261697014	6.68983811440735	1014.18197512447	0.402280672497674	0.999998723944664	unchanged	0.395470832527536	MVK
-0.319472714067533	6.39606657993747	154.304686415122	0.407350686193663	0.999998723944664	unchanged	0.39003154777148	SULT2B1
-0.216532702707067	7.03318107414251	1937.5464768349	0.464545830309892	0.999998723944664	unchanged	0.332971433728813	FDFT1
-0.21131982675758	6.97443737517073	1693.2497755163	0.486132668437035	0.999998723944664	unchanged	0.313245193068198	SQLE
-0.188450287146819	6.87765542095134	1155.98831350764	0.547713277639286	0.999998723944664	unchanged	0.26144673079738	CYP51A1
-0.151660631608027	7.07983004250892	825.374302756336	0.599246974157532	0.999998723944664	unchanged	0.222394150218805	DHCR7
-0.256153328062313	5.86318954989708	15.9775666031659	0.600476688514554	0.999998723944664	unchanged	0.221503847954677	CYP26B1
-0.207937612981138	6.25439391675669	60.8515355975251	0.605462419161116	0.999998723944664	unchanged	0.217912808189741	ABCG1
-0.16065603792096	6.80280988168716	500.004036493763	0.618123948919483	0.999998723944664	unchanged	0.208924429548301	EBP
-0.138522786252216	7.06734054825838	804.33079994395	0.633604034010362	0.999998723944664	unchanged	0.198182066357226	ACLY
-0.165586730413822	6.44145115261255	77.6748911929865	0.655326642874406	0.999998723944664	unchanged	0.183542175065192	OSBPL5
-0.145231491560854	6.6900069180522	221.837732276558	0.666292987144323	0.999998723944664	unchanged	0.176334757736743	ACAA2
-0.119364195729565	7.15128364655459	848.969015264506	0.669964725130894	0.999998723944664	unchanged	0.173948063096637	DHCR24
-0.135226031053067	6.73135330767493	288.462310691584	0.682715665300841	0.999998723944664	unchanged	0.165760131899079	SOAT1
-0.106077158393354	6.83956457716013	239.551337925757	0.737378475365733	0.999998723944664	unchanged	0.132309543928605	SC5D
-0.106735122147595	6.69741361662571	210.060684639656	0.74739198535214	0.999998723944664	unchanged	0.126451563612421	PRKAG2
-0.0958494296591298	6.74532291731747	189.102933924858	0.770590044658466	0.999998723944664	unchanged	0.113176605987204	LIPA
-0.102831391505971	6.39332091857056	34.5959246758389	0.787250714347024	0.999998723944664	unchanged	0.103886936614785	CYP39A1
-0.074146830987058	6.7903103151772	125.834576135594	0.817238897714551	0.999998723944664	unchanged	0.0876509706485519	NSDHL
-0.0525495466199231	6.93378489444739	69.9563697008893	0.862127627929746	0.999998723944664	unchanged	0.0644284371884181	G6PD
-0.0710759297255856	5.89879428428353	1.34001026382021	0.878664797761653	0.999998723944664	unchanged	0.0561767725336513	CYP27A1
-0.0490563454289473	6.7529394314424	39.2335188075664	0.880911277651867	0.999998723944664	unchanged	0.0550678300289698	LBR
-0.0469581160114109	6.6208079302252	26.6909584848059	0.891101903007115	0.999998723944664	unchanged	0.0500726288664763	PMVK
